data,ticker,peso,dinheiro_por_acao,preco_compra,quantidade_acoes,preco_fechamento_ajustado
2011-12-29,FHER3,0.5,5161.025072305199,11.25,464.9572137211891,11.1
2012-01-02,CLSC6,0.5,4880.038357121096,36.39,143.74192509929588,33.95
2012-01-02,FHER3,0.5,5230.768654363377,11.25,464.9572137211891,11.25
2012-01-03,CLSC6,0.5,4872.85126086613,36.39,143.74192509929588,33.9
2012-01-03,FHER3,0.5,5226.119082226165,11.25,464.9572137211891,11.24
2012-01-04,CLSC6,0.5,4743.483528276764,36.39,143.74192509929588,33.0
2012-01-04,FHER3,0.5,5128.478067344715,11.25,464.9572137211891,11.03
2012-01-05,CLSC6,0.5,4720.484820260877,36.39,143.74192509929588,32.84
2012-01-05,FHER3,0.5,5114.5293509330795,11.25,464.9572137211891,11.0
2012-01-06,CLSC6,0.5,4680.237081233075,36.39,143.74192509929588,32.56
2012-01-06,FHER3,0.5,5137.77721161914,11.25,464.9572137211891,11.05
2012-01-09,CLSC6,0.5,4881.475776372088,36.39,143.74192509929588,33.96
2012-01-09,FHER3,0.5,5007.589191777206,11.25,464.9572137211891,10.77
2012-01-10,CLSC6,0.5,4813.91707157542,36.39,143.74192509929588,33.49
2012-01-10,FHER3,0.5,5105.230206658656,11.25,464.9572137211891,10.98
2012-01-11,CLSC6,0.5,4887.22545337606,36.39,143.74192509929588,34.0
2012-01-11,FHER3,0.5,5179.623360854047,11.25,464.9572137211891,11.14
2012-01-12,CLSC6,0.5,4808.167394571447,36.39,143.74192509929588,33.45
2012-01-12,FHER3,0.5,5202.871221540106,11.25,464.9572137211891,11.19
2012-01-13,CLSC6,0.5,4858.4770683562,36.39,143.74192509929588,33.8
2012-01-13,FHER3,0.5,5221.469510088954,11.25,464.9572137211891,11.23
2012-01-16,CLSC6,0.5,4838.353198842299,36.39,143.74192509929588,33.66
2012-01-16,FHER3,0.5,5240.0677986378005,11.25,464.9572137211891,11.27
