,data,preco_abertura,preco_fechamento,preco_maximo,preco_medio,preco_minimo,quantidade_negociada,quantidade_negocios,ticker,volume_negociado,fator_ajuste,preco_fechamento_ajustado,fator_ajuste_desdobramentos,preco_fechamento_ajustado_desdobramentos,preco_abertura_ajustado,preco_maximo_ajustado,preco_medio_ajustado,preco_minimo_ajustado,volume,ValorDeMercado,EBIT_EV,momento_6_meses,ebit_dl,volume_medio_prop_20_200,RANK_FINAL_carteira1,ValorDeMercado_RANK_carteira1,EBIT_EV_RANK_carteira1,momento_6_meses_RANK_carteira1,ebit_dl_RANK_carteira1,volume_medio_prop_20_200_RANK_carteira1,posicao_carteira1
1163354,2025-08-08,32.92,32.0,33.43,32.53,31.91,4876100,13578,CURY3,158660089.0,1.0,32.0,1.0,32.0,32.92,33.43,32.53,31.91,48324733.0,9340002816.0,0.11325854244835208,0.5158692562766463,999.0,1.0507089009570085,271.5,114.0,90.0,20.0,15.5,32.0,19.0
1163299,2025-08-08,2.35,2.3,2.37,2.31,2.27,8123900,5050,CVCB3,18797713.0,1.0,2.3,1.0,2.3,2.35,2.37,2.31,2.27,19813967.0,1208859523.0,0.073167831868384,0.19791666666666652,2.8091747092303887,0.5000880782522272,422.0,31.0,129.0,65.0,36.0,161.0,84.5
1163167,2025-08-08,13.33,13.4,13.42,13.36,13.28,3005000,10199,CXSE3,40168469.0,1.0,13.4,1.0,13.4,13.33,13.42,13.36,13.28,61515987.0,40200000000.0,0.09799152816789675,-0.04217298070050035,999.0,0.8316173973447522,499.5,156.0,109.0,128.0,15.5,91.0,119.0
1163169,2025-08-08,24.76,25.11,25.6,25.35,24.69,5526200,13263,CYRE3,140122137.0,1.0,25.11,1.0,25.11,24.76,25.6,25.35,24.69,126624043.0,9642240000.0,0.1586088152187011,0.2681818181818181,0.6820008720096538,1.0008692420589849,310.0,117.0,39.0,49.0,62.0,43.0,32.0
1163233,2025-08-08,1.42,1.34,1.42,1.38,1.34,786900,989,DASA3,1088430.0,1.0,1.34,1.0,1.34,1.42,1.42,1.38,1.34,679751.0,1681708903.0,0.10833605364330343,-0.25555555555555554,0.12848775808801505,0.643248473577097,591.0,45.0,98.0,157.0,150.0,141.0,151.0
1163245,2025-08-08,8.15,7.88,8.17,7.95,7.88,67100,302,DESK3,533752.0,1.0,7.88,1.0,7.88,8.15,8.17,7.95,7.88,826414.0,913118719.0,0.17517641330011544,-0.20962888665998003,0.3178470194316254,0.5666132012535194,453.0,23.0,24.0,155.0,97.0,154.0,97.0
1163174,2025-08-08,8.75,8.62,8.9,8.69,8.51,101500,584,DEXP3,882795.0,1.0,8.62,1.0,8.62,8.75,8.9,8.69,8.51,652409.0,942488572.0,0.26220253319348047,0.06551297898640285,999.0,0.8407448286248483,234.5,25.0,5.0,100.0,15.5,89.0,9.0
1163146,2025-08-08,41.48,40.99,42.48,41.63,40.91,1769900,10615,DIRR3,73698101.0,1.0,40.99,1.0,40.99,41.48,42.48,41.63,40.91,58107722.0,7111765000.0,0.10629689754254666,0.44483609446598527,2.2630173488572463,0.8976741045171053,333.0,102.0,101.0,25.0,39.0,66.0,38.5
1163383,2025-08-08,5.76,5.76,5.89,5.72,5.65,1694200,3915,DXCO3,9695579.0,1.0,5.76,1.0,5.76,5.76,5.89,5.72,5.65,15576358.0,4726460160.0,0.08803798543235589,-0.005181347150259086,0.1688256216703167,1.062388339737181,487.0,85.0,120.0,117.0,136.0,29.0,113.0
1163183,2025-08-08,7.0,6.87,7.07,6.89,6.81,1616100,3111,ECOR3,11142541.0,1.0,6.87,1.0,6.87,7.0,7.07,6.89,6.81,17549125.0,4783814580.0,0.1351841781862267,0.3935091277890468,0.16763112507604408,0.735280742346583,432.0,86.0,62.0,31.0,137.0,116.0,91.5
1163181,2025-08-08,39.65,40.5,40.55,39.9,38.9,1139700,6634,EGIE3,45481434.0,1.0,40.5,1.0,40.5,39.65,40.55,39.9,38.9,40867805.0,33045073470.0,0.14567558265736436,0.14665911664779152,0.3901718486836054,0.7743384268058264,476.0,150.0,50.0,85.0,87.0,104.0,110.5
1163387,2025-08-08,42.8,44.28,44.48,43.9,42.77,14582700,47059,ELET3,640287571.0,1.0,44.28,1.0,44.28,42.8,44.48,43.9,42.77,185569517.0,103156117120.0,0.15492711779828114,0.25190839694656497,0.5499976577597677,0.8682749506204157,408.0,165.0,41.0,53.0,71.0,78.0,75.0
1163244,2025-08-08,78.5,79.12,79.31,78.59,77.75,3970000,15629,EMBR3,312021369.0,1.0,79.12,1.0,79.12,78.5,79.31,78.59,77.75,585100976.0,58585590800.0,0.0695741746732627,0.3783972125435542,0.8577156982324629,1.5658083164563257,385.0,160.0,134.0,32.0,55.0,4.0,65.0
1163330,2025-08-08,13.82,14.1,14.22,14.08,13.82,9679000,19297,ENEV3,136374307.0,1.0,14.1,1.0,14.1,13.82,14.22,14.08,13.82,78170952.0,27249547200.0,0.05425378160122751,0.1939034716342083,0.16360119989997135,0.6891575351729639,622.0,142.0,144.0,67.0,139.0,130.0,156.0
1163396,2025-08-08,48.0,48.04,49.26,48.33,47.67,2847400,13701,ENGI11,137628513.0,1.0,48.04,1.0,48.04,48.0,49.26,48.33,47.67,83410622.0,23533621742.0,0.11970151859039006,0.24038213271365882,0.2165170138951897,0.6583974823661917,536.0,138.0,85.0,57.0,119.0,137.0,140.0
1163248,2025-08-08,1.01,1.0,1.04,1.0,0.99,520600,482,ENJU3,522925.0,1.0,1.0,1.0,1.0,1.01,1.04,1.0,0.99,720371.0,205017000.0,-3.5527686901732705,-0.2063492063492064,-999.0,0.7762890678836716,597.0,5.0,171.0,154.0,165.0,102.0,152.0
